Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies
CNN,"Europe has missed its chance to stop the third wave of the pandemic before it got out of control. Now it's paying a high price for it, with new lockdowns being imposed across the continent.",Europe has missed its chance to stop the third wave. The US could be next,https://www.facebook.com/cnn/?__cft__[0]=AZX0_BPDTi2wnotuFZ2Mz1bOxjrm-5agXJTi9y6Tv-rKCJy7wh77mYOaOv6VNp7vW6UmDJ8wtv3amHKghRZkzR73Go0NLMw08fFQJpyOH0BCpshOUSZUFd2y0DDg5AyrBCMmm5hLDP4MWH0l0DbAum44&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEtBW9nnTihMZoj&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210317154859-01-covid-restrictions-italy-0317-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFyDCCfMnBha_X3,5.8K,869 Comments,310 Shares,52 Replies
CNN,"As investigators piece together the motive of the suspect in the deadly shootings at three Atlanta-area spas, there's a fierce debate underway over whether he should face hate crime charges",Some officials call for hate crime charges in the Atlanta-area spa shootings that left 8 dead,https://www.facebook.com/cnn/?__cft__[0]=AZXhPvM368BxRiCR2AZcIc6B_sjkhULF7fvR-lAcsnD3NQgt4ghDjUjEWeq5KQm1CfGOOh81hxArczs9O31bW0xXiZXC58R1KNfJJrdM5LMlYXPUBs7MkQA7MXzor9v7M4wi7xQFsJFeymhSy9-px7m7&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGZldlYdqbAIE71&w=500&h=261&url=https%3A%2F%2Fs3.amazonaws.com%2Fprod-cust-photo-posts-jfaikqealaka%2F77d18673-ee21-2bb9-4201-8c8461dfbe4e.jpeg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHuqsGLYwujDMz6,3.8K,923 Comments,87 Shares,49 Replies
CNN,"More than 45,000 people have been killed in Brazil by the pandemic in the past month, but Brazilian President Jair Bolsonaro says there's a ""war"" against him personally.","As Covid-19 deaths soar in Brazil, Bolsonaro says there's a 'war' against him",https://www.facebook.com/cnn/?__cft__[0]=AZXBtvtJWL38XgzlZVMEPGHySMtUXXpFhXk6Hm4Q_gFP5IVgzoGWAwelQOukUKkw1O51Xja14xmLhBoYSWgNZZAHuba7Y6v4k6KaHTldqWGxdcjd_KAioFyAudE4vl9YymK-LsOKDfTmtjknVhOUalGm&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFB3eN7O2N_Zc1a&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210316114458-primera-bolsonaro-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEM3BbniczbpunX,635,369 Comments,78 Shares,View more comments
CNN,"""President Joe Biden is suddenly waging a bitter two-front confrontation with America's foe in the last Cold War -- Moscow -- and the US adversary in a possible next one -- China,"" writes CNN's Stephen Collinson.",Analysis: Insults fly as Biden locks horns with Russia and China,https://www.facebook.com/cnn/?__cft__[0]=AZXsMtjYKEEN-s46qZIKAJDBdj0gDnCSPL7n-SRSW41b3gRNkPIMbYosUFz_0rlvdQFUmbv1XAqa4NTbWUTw6n6xSM8cu-jaeRr1W3TzsgkdwBqIwiayADXlx4z7Uqz2-p5ieKnj1zD3hdiZOTLpuD9Q&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHV0A3V-OPlgP3W&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210315162658-biden-0315-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHO22gUbiiOM0M_,6.6K,4.9K Comments,396 Shares,305 Replies
CNN,"""Officials have not yet confirmed the motive for a horrific shooting spree at Asian spas in the state of Georgia,"" write CNN's Stephen Collinson and Caitlin Hu. ""But the outrage has sent a new wave of fear and horror through a minority community already traumatized by attacks and harassment during the pandemic.""",Analysis: The bias facing Black and Asian Americans reflects a broader problem,https://www.facebook.com/cnn/?__cft__[0]=AZVKjQenVbPvjbfCbl8w19NuSTYpfKOOy24Mb_bRa4EW85mIpL24X9TfcIkYqJCWjGTtSy4RUIL2LvlekugotsDWR6xqw_anJEnivFGDulJJU_94wyBq9CWauC0mg1B9-DFfT0SRuDXxs1QdNi2-jGQH&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQG-BcyLxF6huvCQ&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210317165704-03-atlanta-massage-shootings-210317-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHZIYM_d2J_sn3g,1.2K,830 Comments,45 Shares,69 Replies
CNN,Police are looking for the man who allegedly stabbed a restaurant manager multiple times,"Jack in the Box restaurant manager stabbed by customer who refused to wear a mask, police say",https://www.facebook.com/cnn/?__cft__[0]=AZUoQJPyUjq1FuiOqkcu-rz0nhchnhca5WLvL9gyn15ihuLmJ1266WyGLUvhZf6xY55rUfcvCQ2P8cMv7Oaq2XYqv6y7BSmv4IgoXM2ovPHvOgL90D761TwQp1n41C4YJb8LpJuz8gNg2oLcKpYsN7NM&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQF-sApkheXkfT9v&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210319015648-league-city-texas-stabbing-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGUl5JOBntzBOnz,19K,3.7K Comments,2.2K Shares,558 Replies
CNN,"""So much for a reset.""",Analysis: Alaska dispute between US and Chinese officials an inauspicious start to a new era of relations,https://www.facebook.com/cnn/?__cft__[0]=AZVCpXFwt9KH3n4250Uk8lkxsSZWoNYvVam_7xiOYuqnIUm_UpIYIv4S32XSY9-Wiq9-MyqWWZfdlLOxmqbhV6T_LT5Lq8lF-C0avEgg9Ip0Z5KsXNwicpcPSZFCXmIAdyNLGptDrIFHXZEjgdwBp3Hh&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHIcbVjhgWLpVJc&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210318203613-china-meeting-alaska-blinken-split-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEyR6NLatslvH6C,957,210 Comments,77 Shares,View more comments
CNN,"The country still has a long way to go, but the vaccine rollout is looking a lot less chaotic",US coronavirus vaccine rollout becomes 'less messy',https://www.facebook.com/cnn/?__cft__[0]=AZUf1Sm-RlzQtWxLwQf3xqYNIN6pak5BiaDvMZOwr_PYdFVID047zCLjuCHcOrfRjX9oIjX7t8nshYon5z6DgVlBGcvmJYTDMssNjPO_duM9rfO9F1VeVyWr1sJaSJ3Q3rdrwoqXRe5mhZVarirbITgQ&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQF5A9bnKoh5kvQa&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210318180843-nurse-holds-a-vaccine-super-tease.jpeg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGQMs1FBD2ZY_RH,1.1K,281 Comments,47 Shares,3 Replies
CNN,Seven sandbar sharks now swim the waters of the New York Aquarium at Coney Island. Their new digs are definitely more spacious than their previous home: a New York man's above-ground pool.,A man is found guilty of keeping live sharks in his pool and offering them for sale online,https://www.facebook.com/cnn/?__cft__[0]=AZWT0hhCn7AXcVMRgMH4SY3gCaCIAri8kzJBHkiy44hiiKxeiHFM2SVqzwnZd91-1jEK6gfmaOEWjxADb0y2RVO1x20lZXppte85YLFt_MfuqfVqE5yZXmPGMrWy0u8L20lHqjxBPruKEIucRGNOnnkZ&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQE_N3HSj2G9_81Q&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210318132924-shark-trafficking-ny-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEFqu3DMBAkeRom,887,225 Comments,173 Shares,5 Replies
CNN,"Low-dose aspirin may help protect the lungs and reduce the need to put patients on ventilators, researchers reported Wednesday","Low-dose aspirin can reduce the risk of ICU admission and death of Covid-19, researchers say",https://www.facebook.com/cnn/?__cft__[0]=AZWp4f8XBcZAno6rZ2FGz2yjzjm2Mi2GiFgxkHYK4c0Lz4noKrWvi88H-OvZI9iWawg8JMklQDrRmPJ_Q1jatA0-tzB19B1ck1aJBWXiCNLastxEbrDNBFna8HslywxurQEH24vUf3Y1mnUEv5ZWk1RZ&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGNS9lmldx32UWD&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210318101840-aspirin-pills-stock-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHWjqQxtUxEqec6,2.4K,359 Comments,721 Shares,18 Replies
CNN,"""It's going to be on the minds of business owners. If one person can lash out at an Asian business, what's to stop someone else from doing it?"" Asian business owners across industries say they are feeling vulnerable.",'No one was listening.' Asian business owners react to Atlanta shootings,https://www.facebook.com/cnn/?__cft__[0]=AZVELL_8hK7v44X6zDrmBnntwosPKn2Jklt1K-PyOquIFA0mcMtDzB4bVwJEhvaTqJfsVP2BvLdEVKEfT-BPQmG6LJPGJIrryi8lO9Bg18CkyvX34dEwBIVMTkkdi0bnl0wSpGI2uONmmYMFz-0Ne2m8&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFQcUOuDxsSXq3M&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210318034006-03-atlanta-shooting-memorial-0317-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFGu1s2_W0oUFv8,916,624 Comments,64 Shares,2 Replies
